,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'60 CAKE CASES DOLLY GIRL DESIGN'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.019874645095623294,0.041838538597525045,0.010124819199657149,0.5094339622641509,12.176189210736114,0.009293293093711802,1.9531752867050451
1,frozenset({'60 CAKE CASES DOLLY GIRL DESIGN'}),frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),0.019874645095623294,0.0604810628381636,0.010928376278995018,0.549865229110512,9.091527220377262,0.009726336620080425,2.0871947645930615
2,frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),0.040338565382761024,0.0604810628381636,0.021910323029945895,0.5431606905710491,8.980673703179605,0.019470603722229755,2.0565632548920427
3,frozenset({'ALARM CLOCK BAKELIKE CHOCOLATE'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.020356779343226016,0.04692773343333155,0.013339047517008625,0.6552631578947368,13.963239005046862,0.012383750002428565,2.7646371091246866
4,frozenset({'ALARM CLOCK BAKELIKE CHOCOLATE'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.020356779343226016,0.049820538918947874,0.013606899876787915,0.6684210526315789,13.416576117713639,0.01259271415925429,2.8656205969111093
5,frozenset({'ALARM CLOCK BAKELIKE IVORY'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.028070927304869556,0.04692773343333155,0.016392564418492527,0.583969465648855,12.444015999163442,0.015075259424703181,2.2908709526648363
6,frozenset({'ALARM CLOCK BAKELIKE ORANGE'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.0212674773664756,0.04692773343333155,0.01296405421331762,0.6095717884130982,12.98958513048779,0.011966019704664242,2.4410947730772086
7,frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.0351422296030428,0.04692773343333155,0.018749665184550277,0.5335365853658537,11.369323560530125,0.01710052000148575,2.0431876041429233
8,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.04692773343333155,0.049820538918947874,0.030160175711148016,0.6426940639269406,12.900182893896991,0.02782221074125471,2.659288204175724
9,frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.049820538918947874,0.04692773343333155,0.030160175711148016,0.6053763440860216,12.900182893896991,0.02782221074125471,2.4151422558773894
10,frozenset({'ALARM CLOCK BAKELIKE IVORY'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.028070927304869556,0.049820538918947874,0.018321101408903414,0.6526717557251909,13.100455552819504,0.016922592682620204,2.735681525310282
11,frozenset({'ALARM CLOCK BAKELIKE ORANGE'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.0212674773664756,0.049820538918947874,0.014196175068302352,0.6675062972292191,13.398215107933153,0.013136617884458012,2.85773671249377
12,frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.0351422296030428,0.049820538918947874,0.021053195478652167,0.5990853658536586,12.024867230527144,0.019302390661015172,2.3700293782097726
13,frozenset({'PAINTED METAL PEARS ASSORTED'}),frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),0.018749665184550277,0.07344511705148123,0.013071195157229334,0.6971428571428571,9.492024591018025,0.011694123803073957,3.0593793304903913
14,frozenset({'BAKING SET SPACEBOY DESIGN'}),frozenset({'BAKING SET 9 PIECE RETROSPOT'}),0.02153532972625489,0.04226710237317191,0.015106873091551936,0.7014925373134328,16.596655505741253,0.014196637105372308,3.208405207049873
15,frozenset({'KITCHEN METAL SIGN'}),frozenset({'BATHROOM METAL SIGN'}),0.016178282530669094,0.03508865913108695,0.011678362886377028,0.7218543046357616,20.57229664829887,0.011110688645331962,3.4690860112191877
16,frozenset({'TOILET METAL SIGN'}),frozenset({'BATHROOM METAL SIGN'}),0.02116033642256388,0.03508865913108695,0.015481866395242943,0.7316455696202533,20.851340226108803,0.014739378563412476,3.5956601853134043
17,frozenset({'BEADED CRYSTAL HEART PINK ON STICK'}),frozenset({'DOTCOM POSTAGE'}),0.011035517222906735,0.03792789414474741,0.010767664863127444,0.9757281553398057,25.725872140858975,0.010349110934064501,39.63737076123624
18,frozenset({'PINK HAPPY BIRTHDAY BUNTING'}),frozenset({'BLUE HAPPY BIRTHDAY BUNTING'}),0.019017517544329565,0.018053249049124122,0.011999785718112176,0.6309859154929578,34.95137710536215,0.011656457737588307,2.661000737309626
19,frozenset({'BLUE HAPPY BIRTHDAY BUNTING'}),frozenset({'PINK HAPPY BIRTHDAY BUNTING'}),0.018053249049124122,0.019017517544329565,0.011999785718112176,0.6646884272997032,34.95137710536214,0.011656457737588307,2.925584925553636
20,frozenset({'BLUE HARMONICA IN BOX'}),frozenset({'RED  HARMONICA IN BOX'}),0.02748165211335512,0.029624470991589436,0.014356886484169926,0.5224171539961013,17.634649210931688,0.013542757078336885,2.0318475362502637
21,frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),0.020624631703005304,0.018481812824770988,0.010392671559436439,0.503896103896104,27.264430641821946,0.010011490976721658,1.9784528903793885
22,frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),0.018481812824770988,0.020624631703005304,0.010392671559436439,0.5623188405797102,27.264430641821946,0.010011490976721658,2.2376457090229347
23,frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),0.017731826217388974,0.018481812824770988,0.010071248727701291,0.56797583081571,30.73160821401988,0.00974353243451014,2.271905733951055
24,frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),frozenset({'RED SPOT CERAMIC DRAWER KNOB'}),0.018481812824770988,0.017731826217388974,0.010071248727701291,0.5449275362318841,30.73160821401988,0.00974353243451014,2.1584873882484126
25,frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),0.018481812824770988,0.020624631703005304,0.010071248727701291,0.5449275362318841,26.42120082815735,0.00969006814498651,2.1521305863851157
26,frozenset({'WHITE SPOT BLUE CERAMIC DRAWER KNOB'}),frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),0.01767825574543312,0.018481812824770988,0.010017678255745434,0.5666666666666667,30.6607729468599,0.009690952041989907,2.2650419704043747
27,frozenset({'BLUE SPOT CERAMIC DRAWER KNOB'}),frozenset({'WHITE SPOT BLUE CERAMIC DRAWER KNOB'}),0.018481812824770988,0.01767825574543312,0.010017678255745434,0.5420289855072463,30.660772946859897,0.009690952041989907,2.144943049163453
28,frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),0.020624631703005304,0.020624631703005304,0.011946215246156319,0.5792207792207792,28.083933209647494,0.011520839813271707,2.3275278814465614
29,frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),0.020624631703005304,0.020624631703005304,0.011946215246156319,0.5792207792207792,28.083933209647494,0.011520839813271707,2.3275278814465614
30,"frozenset({""BOX OF 6 MINI 50'S CRACKERS""})","frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS""})",0.019338940376064713,0.060266780950340174,0.010178389671613008,0.5263157894736843,8.733099415204679,0.009012893988157026,1.9838812402159487
31,frozenset({'CANDLEHOLDER PINK HANGING HEART'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.01992821556757915,0.11603364225638828,0.014142604596346494,0.7096774193548387,6.116134989426027,0.011830261160369827,3.044773010005774
32,frozenset({'CHARLIE+LOLA PINK HOT WATER BOTTLE'}),frozenset({'DOTCOM POSTAGE'}),0.016338993946536668,0.03792789414474741,0.011517651470509455,0.7049180327868853,18.58574140965083,0.010897947837673543,3.2603554698428003
33,frozenset({'CHARLOTTE BAG APPLES DESIGN'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.026517383618149676,0.04307065945250978,0.014946161675684362,0.5636363636363636,13.086318407960198,0.013804040476295475,2.1929630720879985
34,frozenset({'CHARLOTTE BAG VINTAGE ALPHABET'}),frozenset({'CHARLOTTE BAG APPLES DESIGN'}),0.02174961161407832,0.026517383618149676,0.011571221942465314,0.5320197044334976,20.06305418719212,0.010994479147749035,2.08017864342648
35,frozenset({'CHARLOTTE BAG APPLES DESIGN'}),frozenset({'LUNCH BAG APPLE DESIGN'}),0.026517383618149676,0.04901698183961001,0.013392617988964482,0.5050505050505051,10.303582270795387,0.012092815877719668,1.921373853017931
36,frozenset({'CHARLOTTE BAG APPLES DESIGN'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.026517383618149676,0.04848127712005143,0.015642577811110517,0.5898989898989899,12.16756292203806,0.01435698118742029,2.3202057528353426
37,frozenset({'CHARLOTTE BAG APPLES DESIGN'}),frozenset({'WOODLAND CHARLOTTE BAG'}),0.026517383618149676,0.03658863234585097,0.013553329404832056,0.5111111111111111,13.96912314950382,0.012583094604853686,1.9706141611107593
38,frozenset({'CHARLOTTE BAG DOLLY GIRL DESIGN'}),frozenset({'CHARLOTTE BAG SUKI DESIGN'}),0.01842824235281513,0.04307065945250978,0.01114265816681845,0.6046511627906976,14.03858613907208,0.010348941616132031,2.4204683319730633
39,frozenset({'CHARLOTTE BAG DOLLY GIRL DESIGN'}),frozenset({'RED RETROSPOT CHARLOTTE BAG'}),0.01842824235281513,0.04848127712005143,0.011035517222906735,0.5988372093023256,12.351927277399462,0.010142092498564436,2.371901743990597
